problem,param,std_beta,share_pct
P3,h,-0.003048932405804273,0.0009479986968922138
P3,h_m,-0.10575155354042302,1.1404747120384207
P3,D_scale,-0.9809636234414665,98.13365031952887
P3,T_plateau,-0.08431032480898477,0.7248926107145313
P3,C_plateau,0.0005804493354593544,3.435902128619546e-05
P4,h,-0.003123179273757921,0.0009852027558454708
P4,h_m,-0.0455426591821939,0.2094925388902663
P4,D_scale,-0.9903914905044987,99.07078190101596
P4,T_plateau,-0.08435137720853987,0.7186478748504526
P4,C_plateau,0.0009568940542964617,9.248248748003609e-05
