variant,problem,T_plateau,C_plateau,t_dry_h
tail_mean,P3,49.99566666666666,0.04999116666666666,57.50177838672159
tail_mean,P4,49.99566666666666,0.04999116666666666,51.11097031742793
last_point,P3,50.165,0.04986,57.191123048184444
last_point,P4,50.165,0.04986,50.83785023552955
tail_mean_1800,P3,50.010466666666666,0.04998199999999999,57.47457783411856
tail_mean_1800,P4,50.010466666666666,0.04998199999999999,51.08706889751314
tail_mean_7200,P3,49.969474999999996,0.04987291666666667,57.54737109953192
tail_mean_7200,P4,49.969474999999996,0.04987291666666667,51.15032878660345
exp_fit_asymptote,P3,50.15327913240504,0.05065273509909765,57.2278921325127
exp_fit_asymptote,P4,50.15327913240504,0.05065273509909765,50.874334413900726
